date,composite_score,composite_label,risk_regime
2025-05-18,0.876,Bullish,Bullish
2025-05-19,0.876,Bullish,Bullish
2025-05-20,0.924,Bullish,Bullish
2025-05-21,0.925,Bullish,Bullish
2025-05-22,0.92,Bullish,Bullish
2025-05-23,0.92,Bullish,Bullish
2025-05-24,0.92,Bullish,Bullish
2025-05-25,0.92,Bullish,Bullish
2025-05-26,0.929,Bullish,Bullish
2025-05-27,0.928,Bullish,Bullish
2025-05-28,0.928,Bullish,Bullish
2025-05-29,0.948,Bullish,Bullish
2025-05-30,0.948,Bullish,Bullish
2025-05-31,0.948,Bullish,Bullish
2025-06-01,0.949,Bullish,Bullish
2025-06-02,0.932,Bullish,Bullish
2025-06-03,0.933,Bullish,Bullish
2025-06-04,0.93,Bullish,Bullish
2025-06-05,0.935,Bullish,Bullish
2025-06-06,0.935,Bullish,Bullish
2025-06-07,0.935,Bullish,Bullish
2025-06-08,0.934,Bullish,Bullish
2025-06-09,0.953,Bullish,Bullish
2025-06-10,0.952,Bullish,Bullish
2025-06-11,0.95,Bullish,Bullish
2025-06-12,0.942,Bullish,Bullish
2025-06-13,0.924,Bullish,Bullish
2025-06-14,0.924,Bullish,Bullish
2025-06-15,0.928,Bullish,Bullish
2025-06-16,0.884,Bullish,Bullish
2025-06-17,0.889,Bullish,Bullish
2025-06-18,0.889,Bullish,Bullish
2025-06-19,0.813,Bullish,Bullish
2025-06-20,0.832,Bullish,Bullish
2025-06-21,0.832,Bullish,Bullish
2025-06-22,0.778,Bullish,Bullish
2025-06-23,0.766,Bullish,Bullish
2025-06-24,0.787,Bullish,Bullish
2025-06-25,0.769,Bullish,Bullish
2025-06-26,0.769,Bullish,Bullish
2025-06-27,0.844,Bullish,Bullish
2025-06-28,0.844,Bullish,Bullish
2025-06-29,0.842,Bullish,Bullish
2025-06-30,0.731,Bullish,Bullish
2025-07-01,0.713,Bullish,Bullish
2025-07-02,0.732,Bullish,Bullish
2025-07-03,0.788,Bullish,Bullish
2025-07-04,0.714,Bullish,Bullish
2025-07-05,0.714,Bullish,Bullish
2025-07-06,0.71,Bullish,Bullish
2025-07-07,0.842,Bullish,Bullish
2025-07-08,0.845,Bullish,Bullish
2025-07-09,0.901,Bullish,Bullish
2025-07-10,0.788,Bullish,Bullish
2025-07-11,0.843,Bullish,Bullish
2025-07-12,0.843,Bullish,Bullish
2025-07-13,0.897,Bullish,Bullish
2025-07-14,0.841,Bullish,Bullish
2025-07-15,0.84,Bullish,Bullish
2025-07-16,0.822,Bullish,Bullish
